date,value,series_id,country,indicator,source
2024-12-31,29184890000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2023-12-31,27720709000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2022-12-31,26006893000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2021-12-31,23681171000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2020-12-31,21354105000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2019-12-31,21539982000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2018-12-31,20656516000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2017-12-31,19612102000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2016-12-31,18804913000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2015-12-31,18295019000000.0,US_NY.GDP.MKTP.CD,US,NY.GDP.MKTP.CD,ECONOMIC
2024-12-31,18743803170827.2,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2023-12-31,18270356654533.2,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2022-12-31,18316765021690.2,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2021-12-31,18201698719564.0,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2020-12-31,14996414166715.1,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2019-12-31,14560167101283.4,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2018-12-31,14147765772963.8,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2017-12-31,12537559062282.9,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2016-12-31,11456024084962.0,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2015-12-31,11280814787468.9,CN_NY.GDP.MKTP.CD,CN,NY.GDP.MKTP.CD,ECONOMIC
2024-12-31,4659929336890.62,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2023-12-31,4525703903627.53,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2022-12-31,4163596357879.39,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2021-12-31,4348297440387.53,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2020-12-31,3940142541354.1,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2019-12-31,3957208055215.68,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2018-12-31,4052008447223.53,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2017-12-31,3763092263752.95,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2016-12-31,3537784107980.55,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2015-12-31,3423568450957.03,DE_NY.GDP.MKTP.CD,DE,NY.GDP.MKTP.CD,ECONOMIC
2024-12-31,4026210821146.81,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2023-12-31,4213167237905.83,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2022-12-31,4262463317796.53,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2021-12-31,5039148168861.22,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2020-12-31,5054068005376.28,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2019-12-31,5117993853016.51,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2018-12-31,5040880939324.86,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2017-12-31,4930837369151.42,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2016-12-31,5003677627544.24,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2015-12-31,4444930651964.18,JP_NY.GDP.MKTP.CD,JP,NY.GDP.MKTP.CD,ECONOMIC
2024-12-31,3643834188782.91,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2023-12-31,3369861888972.88,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2022-12-31,3114042471144.39,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2021-12-31,3143323050707.26,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2020-12-31,2696778386607.65,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2019-12-31,2851407164907.81,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2018-12-31,2871340347581.79,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2017-12-31,2680148052335.3,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2016-12-31,2689106566899.61,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2015-12-31,2927911140916.73,GB_NY.GDP.MKTP.CD,GB,NY.GDP.MKTP.CD,ECONOMIC
2024-12-31,3912686168582.21,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2023-12-31,3638489096033.86,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2022-12-31,3346107287730.93,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2021-12-31,3167270623260.47,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2020-12-31,2674851578587.27,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2019-12-31,2835606256558.19,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2018-12-31,2702929641648.74,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2017-12-31,2651474262755.45,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2016-12-31,2294796885663.16,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2015-12-31,2103588360044.94,IN_NY.GDP.MKTP.CD,IN,NY.GDP.MKTP.CD,ECONOMIC
2024-12-31,2.94952520485207,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2023-12-31,4.11633838374488,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2022-12-31,8.00279982052121,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2021-12-31,4.69785886363742,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2020-12-31,1.23358439630629,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2019-12-31,1.81221007526021,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2018-12-31,2.44258329692817,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2017-12-31,2.13011000365961,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2016-12-31,1.26158320570536,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2015-12-31,0.118627135552451,US_FP.CPI.TOTL.ZG,US,FP.CPI.TOTL.ZG,ECONOMIC
2024-12-31,0.218128938439177,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2023-12-31,0.234836828893051,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2022-12-31,1.97357555739051,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2021-12-31,0.981015135544882,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2020-12-31,2.41942189457782,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2019-12-31,2.89923416358227,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2018-12-31,2.07479039965576,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2017-12-31,1.59313600071436,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2016-12-31,2.00000182191943,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2015-12-31,1.43702380935655,CN_FP.CPI.TOTL.ZG,CN,FP.CPI.TOTL.ZG,ECONOMIC
2024-12-31,2.2564981433876,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2023-12-31,5.94643667725823,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2022-12-31,6.87257438551097,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2021-12-31,3.06666666666673,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2020-12-31,0.144877925813982,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2019-12-31,1.44565976888253,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2018-12-31,1.73216879766942,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2017-12-31,1.50949485109628,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2016-12-31,0.491747008445174,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2015-12-31,0.514426137125456,DE_FP.CPI.TOTL.ZG,DE,FP.CPI.TOTL.ZG,ECONOMIC
2024-12-31,2.73853681635241,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2023-12-31,3.26813365933163,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2022-12-31,2.49770278172255,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2021-12-31,-0.233352779398264,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2020-12-31,-0.024995834027731,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2019-12-31,0.46877615938395,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2018-12-31,0.989094598021848,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2017-12-31,0.484199796126385,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2016-12-31,-0.127258844489754,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2015-12-31,0.795279630579839,JP_FP.CPI.TOTL.ZG,JP,FP.CPI.TOTL.ZG,ECONOMIC
2024-12-31,3.2715729463592,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2023-12-31,6.79396706793963,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2022-12-31,7.92204883147902,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2021-12-31,2.51837109614213,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2020-12-31,0.989486703772491,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2019-12-31,1.73810460086513,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2018-12-31,2.29283990345938,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2017-12-31,2.55775577557747,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2016-12-31,1.0084173681141,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2015-12-31,0.36804684232536,GB_FP.CPI.TOTL.ZG,GB,FP.CPI.TOTL.ZG,ECONOMIC
2024-12-31,4.95303550973656,IN_FP.CPI.TOTL.ZG,IN,FP.CPI.TOTL.ZG,ECONOMIC
2023-12-31,5.64914318907925,IN_FP.CPI.TOTL.ZG,IN,FP.CPI.TOTL.ZG,ECONOMIC
2022-12-31,6.69903414079852,IN_FP.CPI.TOTL.ZG,IN,FP.CPI.TOTL.ZG,ECONOMIC
2021-12-31,5.13140747176369,IN_FP.CPI.TOTL.ZG,IN,FP.CPI.TOTL.ZG,ECONOMIC
